Subject,TaskA_LR,TaskC_Aligned,Diff,Diff_Pct
sub-01,50.0,37.5,-12.5,-12.5%
sub-02,58.0,61.5,3.5,+3.5%
sub-03,43.5,48.0,4.5,+4.5%
sub-04,47.5,51.5,4.0,+4.0%
sub-05,53.5,55.5,2.0,+2.0%
sub-06,43.0,53.0,10.0,+10.0%
sub-07,41.5,53.0,11.5,+11.5%
sub-08,53.5,51.0,-2.5,-2.5%
sub-09,45.5,56.5,11.0,+11.0%
sub-10,56.0,53.0,-3.0,-3.0%
sub-11,37.5,47.5,10.0,+10.0%
sub-12,47.5,58.0,10.5,+10.5%
sub-13,52.0,46.5,-5.5,-5.5%
sub-14,59.5,49.5,-10.0,-10.0%
sub-15,47.0,43.0,-4.0,-4.0%
sub-16,46.0,46.5,0.5,+0.5%
sub-17,53.5,50.5,-3.0,-3.0%
sub-18,46.5,53.0,6.5,+6.5%
sub-19,63.0,55.0,-8.0,-8.0%
sub-20,40.5,43.0,2.5,+2.5%
sub-21,51.0,50.0,-1.0,-1.0%
sub-22,58.0,56.5,-1.5,-1.5%
sub-23,49.0,58.5,9.5,+9.5%
sub-24,38.0,60.0,22.0,+22.0%
sub-25,48.0,51.0,3.0,+3.0%
sub-26,53.0,54.5,1.5,+1.5%
sub-27,49.5,44.5,-5.0,-5.0%
sub-28,46.5,60.0,13.5,+13.5%
sub-29,48.5,49.0,0.5,+0.5%
sub-30,51.0,58.0,7.0,+7.0%
sub-31,48.5,50.5,2.0,+2.0%
sub-32,52.0,48.0,-4.0,-4.0%
sub-33,39.0,52.0,13.0,+13.0%
sub-34,55.5,51.5,-4.0,-4.0%
sub-35,51.0,50.5,-0.5,-0.5%
sub-36,49.5,54.0,4.5,+4.5%
sub-37,49.0,44.5,-4.5,-4.5%
sub-38,51.0,49.0,-2.0,-2.0%
sub-39,54.5,51.5,-3.0,-3.0%
sub-40,53.0,57.5,4.5,+4.5%
sub-41,54.0,46.0,-8.0,-8.0%
sub-42,47.5,47.0,-0.5,-0.5%
sub-43,60.5,55.5,-5.0,-5.0%
sub-44,48.0,47.5,-0.5,-0.5%
sub-45,56.0,60.5,4.5,+4.5%
sub-46,52.5,51.0,-1.5,-1.5%
sub-47,41.0,43.0,2.0,+2.0%
sub-48,47.0,49.5,2.5,+2.5%
sub-49,41.0,50.0,9.0,+9.0%
sub-50,53.5,59.0,5.5,+5.5%
